,year,month,temperature trend (C)
0,1883,1,21.7471533800067
1,1883,2,21.748007115628138
2,1883,3,21.748860851249578
3,1883,4,21.749714586871015
4,1883,5,21.75056832249245
5,1883,6,21.751422058113892
6,1883,7,21.75227579373533
7,1883,8,21.753129529356766
8,1883,9,21.753983264978203
9,1883,10,21.754837000599643
10,1883,11,21.75569073622108
11,1883,12,21.756544471842517
12,1884,1,21.757398207463957
13,1884,2,21.758251943085394
14,1884,3,21.75910567870683
15,1884,4,21.759959414328268
16,1884,5,21.76081314994971
17,1884,6,21.761666885571145
18,1884,7,21.762520621192582
19,1884,8,21.763374356814023
20,1884,9,21.76422809243546
21,1884,10,21.765081828056896
22,1884,11,21.765935563678333
23,1884,12,21.766789299299774
24,1885,1,21.76764303492121
25,1885,2,21.768496770542647
26,1885,3,21.769350506164088
27,1885,4,21.770204241785525
28,1885,5,21.77105797740696
29,1885,6,21.771911713028402
30,1885,7,21.77276544864984
31,1885,8,21.773619184271276
32,1885,9,21.774472919892716
33,1885,10,21.775326655514153
34,1885,11,21.77618039113559
35,1885,12,21.77703412675703
36,1886,1,21.777887862378467
37,1886,2,21.778741597999904
38,1886,3,21.779595333621344
39,1886,4,21.78044906924278
40,1886,5,21.781302804864218
41,1886,6,21.78215654048566
42,1886,7,21.783010276107095
43,1886,8,21.783864011728532
44,1886,9,21.784717747349973
45,1886,10,21.78557148297141
46,1886,11,21.786425218592846
47,1886,12,21.787278954214287
48,1887,1,21.788132689835724
49,1887,2,21.78898642545716
50,1887,3,21.7898401610786
51,1887,4,21.790693896700038
52,1887,5,21.791547632321475
53,1887,6,21.792401367942915
54,1887,7,21.793255103564352
55,1887,8,21.79410883918579
56,1887,9,21.79496257480723
57,1887,10,21.795816310428666
58,1887,11,21.796670046050103
59,1887,12,21.797523781671543
60,1888,1,21.79837751729298
61,1888,2,21.799231252914417
62,1888,3,21.800084988535858
63,1888,4,21.800938724157295
64,1888,5,21.80179245977873
65,1888,6,21.802646195400172
66,1888,7,21.80349993102161
67,1888,8,21.804353666643046
68,1888,9,21.805207402264486
69,1888,10,21.806061137885923
70,1888,11,21.80691487350736
71,1888,12,21.807768609128797
72,1889,1,21.808622344750237
73,1889,2,21.809476080371674
74,1889,3,21.81032981599311
75,1889,4,21.81118355161455
76,1889,5,21.812037287235988
77,1889,6,21.812891022857425
78,1889,7,21.81374475847886
79,1889,8,21.814598494100302
80,1889,9,21.81545222972174
81,1889,10,21.816305965343176
82,1889,11,21.817159700964616
83,1889,12,21.818013436586053
84,1890,1,21.81886717220749
85,1890,2,21.819720907828927
86,1890,3,21.820574643450367
87,1890,4,21.821428379071804
88,1890,5,21.82228211469324
89,1890,6,21.82313585031468
90,1890,7,21.82398958593612
91,1890,8,21.824843321557555
92,1890,9,21.825697057178996
93,1890,10,21.826550792800433
94,1890,11,21.82740452842187
95,1890,12,21.82825826404331
96,1891,1,21.829111999664747
97,1891,2,21.829965735286184
98,1891,3,21.830819470907624
99,1891,4,21.83167320652906
